Voltage, top, bottom, wall, frontAndBack
0, 	3.18524e-13, 	3.41154e-13, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	3.18524e-13, 	3.41154e-13, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	5.39971e-14, 	1.19343e-14, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	5.39971e-14, 	1.19343e-14, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	5.39971e-14, 	1.19343e-14, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	5.39971e-14, 	1.19343e-14, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
